Name,Ticker,"Sub-Sector","Market Cap","Total revenue (Q)","PBT (Q)","PBIT (Q)","Operating and Other Expenses (Q)","Net Income (Q)","EPS (Q)","EBITDA (Q)","Total Revenue","Taxes & Other Items","Selling & Administrative Expenses","Raw Materials","Payout Ratio","Power & Fuel Cost","PBT","PBIT","Operating & Other expenses","Net Income","Interest & Other Items","Earnings Per Share","Employee Cost","EBITDA","Dividend Per Share","Depreciation & Amortization"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","97396.69454335999","56211","2839","3825","50530","2411","10.85","5681","224509","3144",,,"0.06605019815059444",,"13241","16887","200536","10097","3646","45.42",,"23973","3","7086"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","96123.5181322","2016.92","466.48","466.72","1463.18","320.97","12.09","553.74","8112.17","545.25",,,"0.43674479545785416",,"2368.6300000000006","2369.3000000000006","5399.69","1823.3800000000006","0.67","68.69",,"2712.4800000000005","30","343.18"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","94621.04146488","3834.58","1162.5700000000002","1162.5700000000002","2636.5099999999998","855.2000000000002","10.4","1198.0700000000002","13105.59","949.74","518.69",,"0.06170783259845768",,"3614.59","3614.59","7490.85","2664.8500000000004",,"32.410796422138276","1360.37","3735.6800000000003","2","121.09"
ABB India Ltd,ABB,"Heavy Electrical Equipments","93394.37811375","2483.46","327.57000000000016","329.8000000000002","2126.18","244.89000000000016","11.58","357.2800000000002","9086.26","337.18","1119.49","5402.71","0.11468821649626569","22.57","1353.4099999999994","1368.8099999999995","432.6900000000005","1016.2299999999993","15.4","47.95610366980537","635.29","1473.5099999999995","5.5","104.7"
Bharat Electronics Ltd,BEL,"Electronic Equipments","91737.72430395","6545.28","1781.56","1784.02","4647.28","1382.02","1.9","1898","18015.24","938.49",,,"0.293398533007335",,"3922.910000000002","3937.860000000002","13648.56","2984.420000000002","14.95","4.09",,"4366.680000000002","1.2","428.82"
Adani Power Ltd,ADANIPOWER,"Power Generation","91486.59168052","10795.32","897.72","1643.72","8334.65","5242.4800000000005","12.81","2460.67","43040.520000000004","-3051.94","444.12",,"0","25480.85","7674.700000000004","11008.200000000004","2233.680000000001","10726.640000000005","3333.5","27.81127771034632","569.99","14311.880000000005","0","3303.68"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","89133.0888383","4183.21","1156.35","1164.51","2870.67","905.5799999999999","33.11","1312.54","15352.46","885.69",,,"0.3472222222222222",,"3799.6299999999987","3827.6499999999987","10998.6","2913.9399999999987","28.02","106.56",,"4353.859999999999","37","526.21"
Shree Cement Ltd,SHREECEM,"Cement","87145.65024066","5245.91","490.83000000000015","562.1000000000001","4210.99","525.7700000000002","145.72","1034.92","18311.410000000003","224.33999999999997","4628.75","1507.76","0.2839438734555744","6080.66","1495.0400000000054","1757.9100000000053","1697.8899999999992","1270.7000000000055","262.87","352.18227737407375","977.77","3418.5800000000054","100","1660.67"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","86073.54951852","11764.01","364.28999999999905","364.28999999999905","11399.720000000001","235.25999999999905","1.64","364.28999999999905","51371.95","271.05","45453.810000000005",,"0.10605571593116289",,"1084.5499999999904","1084.5499999999904","3296.029999999999","813.4999999999905",,"5.6574037026862305","1453.8","1168.3099999999904","0.6","83.76"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","85459.47466546501","6461.3","1329.1","1364.5","4781.3","960.0999999999999","57.79","1680","25762.2","1541.1999999999998","3132.3","7586.8","0.14773985534577244","477.4","6048.499999999998","6191.299999999998","2477.6","4507.299999999998","142.8","270.7461700594158","4646.6","7441.499999999998","40","1250.2"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","83126.51473716","3860.12","659.6199999999999","1290.11","2154.46","389.44999999999993","3.49","1705.6599999999999","14876.039999999999","455.39","381.5",,"0","5224.16","1711.719999999999","4493.189999999999","2182.8000000000006","1256.329999999999","2781.47","11.342287106592266","986.65","6100.9299999999985","0","1607.74"
Ambuja Cements Ltd,AMBUJACEM,"Cement","82781.54959701","8254.73","988.8899999999998","1028.3199999999997","6874.08","644.9399999999998","3.25","1380.6499999999996","39702.76","1146.0900000000001","11200.69","5230.77","0.1921542568901443","11761.9","3729.4900000000066","3924.3900000000067","4083.809999999998","2583.4000000000065","194.9","13.010380516468416","1856.53","5569.060000000007","2.5","1644.67"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","82450.6839484","1412.94","1367.64","1367.64","36.8","1352.75","121.5","1376.14","5194.36","160.99","67.2",,"0.282219261646174",,"5011.51","5011.51","32.010000000000005","4850.52",,"435.8313436246193","49.78","5045.37","123","33.86"
Cipla Ltd,CIPLA,"Pharmaceuticals","82393.39818251999","5873.93","745.3700000000007","779.7300000000007","4747.98","525.6500000000007","6.51","1125.9500000000007","23228.57","1236.4399999999998",,,"0.24481566820276499",,"4038.3500000000004","4147.89","17908.57","2801.9100000000008","109.54","34.72",,"5320","8.5","1172.11"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","82074.49153718","119634.54","8854.499999999985","9824.179999999986","108205.57","6870.469999999986","32.26","11428.969999999987","476877.32","690.0799999999999",,,"0.3996003996003996",,"2821.1300000000165","6566.510000000017","463941.99","2131.0500000000166","3745.38","10.01",,"12935.330000000016","4","6368.82"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","79726.4389797","4905.92","486.68999999999966","496.43999999999966","4332.06","358.0399999999996","5.71","573.8599999999997","17200.96","375.33","1617.71","11972.25","0.43836115614473786","119.27","1447.0600000000002","1502.1200000000001","425.11999999999875","1071.7300000000002","55.06","17.10918016997759","1268.32","1798.2900000000002","7.5","296.17"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","79092.045273925","3916.57","799.6700000000001","799.6700000000001","3071.84","596.47","6.31","844.73","14285.67","772.0999999999999",,,"0.10451505016722407",,"3030.5699999999993","3030.5699999999993","11091.29","2258.4699999999993",,"23.92",,"3194.379999999999","2.5","163.81"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","77790.79051275","3674.03","450.0800000000003","477.74000000000035","3113.43","268.5900000000003","2.89","560.6000000000004","14194.78","589.79","1785.26","7107.06","0.649511967994301","149.43","1793.5600000000002","1880.7200000000003","1847.87","1203.7700000000002","87.16","13.009767974089343","1120.36","2184.8","8.45","304.08"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","74509.2092574","4322.12","253.5999999999997","349.0099999999997","3814.05","144.5199999999997","10.05","508.0699999999997","16702.79","281.70000000000005",,,"0.2632964718272775",,"1100.7700000000011","1481.560000000001","14605.99","819.0700000000011","380.79","56.97",,"2096.800000000001","15","615.24"
Mankind Pharma Ltd,MANKIND,"Pharmaceuticals","72919.1137332","2102.95","377.2799999999998","382.4399999999998","1635.99","285.4299999999998","7.13","466.9599999999998","8890.42","389.39",,,"0",,"1671.2299999999998","1715.6999999999998","6848.8","1281.8399999999997","44.47","32",,"2041.62","0","325.92"
GAIL (India) Ltd,GAIL,"Gas Distribution","71076.82714083","34134.99","688.8999999999987","795.8299999999987","32708.3","634.1799999999987","0.96","1426.6899999999987","148711.56","1640.36",,,"0.4694835680751174",,"7256.36000000001","7622.94000000001","138387.05","5616.00000000001","366.58","8.52",,"10324.51000000001","4","2701.57"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","70888.607850195","13805.98","1158.0700000000002","2353.63","10526.05","777.7300000000001","2.43","3279.9300000000003","61123.329999999994","2120.56","1460.6",,"0.19164090149980229","36708.56","5456.999999999998","9828.649999999998","5884.919999999999","3336.4399999999982","4371.65","10.436185513362675","3801.4","13267.849999999999","2","3439.2"
