Name,Ticker,"Sub-Sector","Market Cap","Percentage Hold Reco's","No. of analysts with buy reco","Percentage Buy Reco’s","Percentage Sell Reco's","Total no. of analysts","Percentage Upside"
Gujarat Fluorochemicals Ltd,FLUOROCHEM,"Specialty Chemicals","29975.31875","0","7","100","0","7","59.120476408612"
Phoenix Mills Ltd,PHOENIXLTD,"Real Estate","29973.20205369","6.25","15","93.75","0","16","1.4065200548304373"
Jindal Stainless Ltd,JSL,"Iron & Steel","29701.285589159997","0","7","100","0","7","-1.8574993069032406"
Torrent Power Ltd,TORNTPOWER,"Power Transmission & Distribution","29418.55334864","37.5","2","25","37.5","8","-10.96226106845287"
Delhivery Ltd,DELHIVERY,"Logistics","29262.2152382","21.052631578947366","14","73.68421052631578","5.263157894736842","19","8.954289292423294"
Coforge Ltd,COFORGE,"IT Services & Consulting","29054.55993805","18.51851851851852","17","62.96296296296296","18.51851851851852","27","-0.6413626327410367"
Metro Brands Ltd,METROBRAND,"Footwear","28848.667819065002","18.181818181818183","7","63.63636363636363","18.181818181818183","11","-2.792822493288757"
Max Financial Services Ltd,MFSL,"Insurance","28421.926965705","7.142857142857142","13","92.85714285714286","0","14","11.711492926962546"
Poonawalla Fincorp Ltd,POONAWALLA,"Consumer Finance","28359.68383144","0","8","100","0","8","2.383531960996753"
KPIT Technologies Ltd,KPITTECH,"IT Services & Consulting","28320.13608445","25","4","50","25","8","-5.493771180373248"
Sundaram Finance Ltd,SUNDARMFIN,"Consumer Finance","28267.559583125","33.33333333333333","8","66.66666666666666","0","12","3.4556688171204746"
CRISIL Ltd,CRISIL,"Stock Exchanges & Ratings","28220.533953175","0","0",,"0",,"-12.581752250210451"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","27728.24081058","6.666666666666667","12","80","13.333333333333334","15","23.19123973406336"
Coromandel International Ltd,COROMANDEL,"Fertilizers & Agro Chemicals","27497.473133235","10","9","90","0","10","26.664171523285038"
Apollo Tyres Limited,APOLLOTYRE,"Tires & Rubber","26963.21066243","28.57142857142857","16","57.14285714285714","14.285714285714285","28","-1.071723000824405"
Federal Bank Ltd,FEDERALBNK,"Private Banks","26858.354798925","13.793103448275861","25","86.20689655172413","0","29","30.17751479289941"
GMR Infrastructure Ltd,GMRINFRA,"Construction & Engineering","26678.8781155","0","2","100","0","2","-0.4524886877828118"
Thermax Limited,THERMAX,"Industrial Machinery","26297.2590329","33.33333333333333","9","37.5","29.166666666666668","24","1.7707641907372078"
Deepak Nitrite Ltd,DEEPAKNTR,"Commodity Chemicals","26262.48004455","25","7","58.333333333333336","16.666666666666664","12","12.334458582186445"
