Name,Ticker,"Sub-Sector","Market Cap","Close Price","Interest Coverage Ratio","Quick Ratio","Asset Turnover Ratio","Cash Conversion Cycle","Days of Inventory Outstanding","Days Payable Outstanding","Days of Sales Outstanding","Debt to Equity","Earning Power","Inventory Turnover Ratio","Long Term Debt to Equity","Net Income / Liabilities","Current Ratio","Working Capital Turnover Ratio"
CKP Leisure Ltd,CKPLEISURE,"Hotels, Resorts & Cruise Lines","3.901932","3","-121.60000000000001","18.703703703703706","0.06779661016949153",,"529.8387096774194","553.3870967741935","72.71484375","1.3812154696132597",,"0.6888888888888889","0",,"18.703703703703706","0.3427041499330656"
Stanpacks India Ltd,STANPACK,"Packaging","3.90144","6.72","-0.41071428571428437","0.43212237093690226","1.3759505703422055",,"230.43200785468827","35.20986745213549","50.55785837651122","167.26998491704376",,"1.58398133748056","35.44494720965309",,"1.5583173996175905","3.6645569620253173"
Nippon India ETF Shariah BeES,SHARIABEES,"Equity","3.899409808","434.83",,,,,,,,,,,,,,
Anna Infrastructures Ltd,ANNAINFRA,"Real Estate","3.8874","10.23",,"11.899999999999999","0.1216691804927099",,,,"0","2.355460385438972","2.9561671763506605","0","0.7494646680942185","46.80851063829783","22.9","0.13804905875641757"
Sab Events & Governance Now Media Ltd,SABEVENTS,"Publishing","3.8789730700000002","3.6","-2.62962962962963","0.39534883720930225","0.4566115702479339",,,,"19.81900452488688","285.54216867469876",,,"0",,"0.39534883720930225","-1.1450777202072537"
Trio Mercantile And Trading Ltd,TRIOMERC,"Commodities Trading","3.872386428","0.58",,"1.6701570680628273","0.16046145778710014","432.2525637017",,,"0","0",,"0","0",,"1.7225130890052356","0.9632738719832108"
Innovative Tyres & Tubes Ltd,INNOVATIVE,"Tires & Rubber","3.868185615","2.15","-681.3333333333334","0.039791096742103946","0.014435138368906556",,,,"1551.7379679144383","431.68771526980476",,"0","0.11481056257174523",,"0.07149962695846802","-0.04078961718835205"
Gujarat Metallic Coal & Coke Ltd,GMETCOAL,"Commodities Trading","3.8622831","20.4",,"0.0040347610180012415","0.0007780082987551867",,,,"141.94444444444446","87.02141466580143",,,"0",,"0.0040347610180012415","-0.0010803024846957148"
Gujarat Inject Kerala Ltd,GUJINJEC,"Diversified Chemicals","3.860412","7.5",,"0.056603773584905655","15.25",,,,"0",,"85.71428571428562",,,"5.263157894736832","0.056603773584905655","-1.2448979591836735"
Asian Warehousing Ltd,ASIAN,,"3.8428944","11.57","1.168421052631579","0.19887955182072828","0.051620143077570485",,,,"125.96467391304347","29.411764705882348","3.1294051310967013",,"16.501145912910616","1.8299246501614643","0.19887955182072828","-0.7258382642998028"
