Name,Ticker,"Sub-Sector","Market Cap","Close Price","% Away From 52W Low","% Away From 52W High","1Y Return","1Y Return vs Nifty","5Y CAGR","6M Return","6M Return vs Nifty","1M Return","1M Return vs Nifty","Face value"
Indian Energy Exchange Ltd,IEX,"Power Trading & Consultancy","11102.004401125","124.1","6.982758620689644","41.70024174053184","-24.58219386204802","-45.51513617433827","18.50466640922135","-8.548268238761972","-19.373306443963425","-5.049732211170616","-11.227489203629446","1"
Chambal Fertilisers and Chemicals Ltd,CHAMBLFERT,"Fertilizers & Agro Chemicals","11063.07796542","269.8","8.615136876006435","35.95255744996293","-14.10378860235594","-35.036730914646185","13.553870895101984","-11.103789126853375","-21.92882733205483","-3.2974910394265193","-9.47524803188535","10"
Aditya Birla Sun Life Amc Ltd,ABSLAMC,"Asset Management","11037.58661528","391.45","27.508143322475576","28.496615148805727","-8.023966165413542","-28.95690847770379",,"-11.716283265674333","-22.541321470875786","5.497911332704481","-0.6798456597543492","5"
Motilal Oswal Financial Services Ltd,MOTILALOFS,"Diversified Financials","11020.87937574","746.6","35.437641723356016","10.346905973747656","-6.680832447971993","-27.613774760262242","-1.0220137943661722","3.2356194690265454","-7.589418736174908","8.015046296296292","1.837289303837462","1"
Amara Raja Batteries Ltd,AMARAJABAT,"Batteries","11013.1359375","612.3","32.67605633802817","15.792911971255919","28.56692913385826","7.633986821568012","-4.299014810646529","6.598189415041779","-4.226848790159674","-3.4912128615336258","-9.668969853992456","1"
Can Fin Homes Ltd,CANFINHOME,"Home Financing","10896.00204875","831.1","83.8716814159292","1.4799663097100124","59.56609388499568","38.63315157270543","20.59809301228683","59.48954135482633","48.66450314962488","10.636315228966984","4.4585582365081535","2"
TTK Prestige Ltd,TTKPRESTIG,"Home Electronics & Appliances","10881.8936401","798.9","22.46493446769371","31.418200025034437","-11.621217987720566","-32.554160300010814","10.40373721357688","0.49056603773584617","-10.334472167465607","6.562625050019998","0.3848680575611674","1"
MedPlus Health Services Ltd,MEDPLUS,"Online Services","10878.38897748","918.45","67.52393980848154","2.7491970167129454","21.88308672284521","0.9501444105549623",,"46.89324270291884","36.06820449771739","13.263041065482806","7.085284073023976","2"
Birlasoft Ltd,BSOFT,"IT Services & Consulting","10829.41099325","392.45","56.823176823176816","1.3887119378264812","17.06189410887397","-3.871048203416276","6.040635599542443","34.53890983887556","23.71387163367411","16.35042988437592","10.17267289191709","2"
Vardhman Textiles Ltd,VTL,"Textiles","10796.582817","373.4","38.2962962962963","2.945902517407606","21.174752555573587","0.24181024328333933","9.453341928094328","20.35455278001611","9.529514574814657","3.7366300875121516","-2.4411269049466786","2"
Bharat 22 ETF,ICICIB22,"Equity","10739.054693185","68.91","43.26403326403325","1.1464228704106905","41.38284776364382","20.44990545135357","15.318454047333763","17.71438332763922","6.889345122437765","4.2984713182987795","-1.8792856741600508","0"
Equitas Small Finance Bank Ltd,EQUITASBNK,"Private Banks","10738.64344124","96.45","131.01796407185628","0.8812856402280911","126.6745005875441","105.74155827525385",,"70.40636042402826","59.58132221882681","8.614864864864872","2.4371078724060418","10"
Olectra Greentech Ltd,OLECTRA,"Electrical Components & Equipments","10731.645959065","1298.95","247.21999465383587","12.783401978521102","111.67603682881122","90.74309451652097","55.51520076595242","173.57834877843305","162.7533105732316","33.836484467569946","27.658727475111114","4"
Anupam Rasayan India Ltd,ANURAS,"Specialty Chemicals","10662.4783656","980.8","72.07017543859648","25.815660685154974","33.55119825708061","12.61825594479036",,"51.00846805234795","40.1834298471465","-6.971450251351608","-13.149207243810437","10"
Poly Medicure Ltd,POLYMED,"Health Care Equipment & Supplies","10642.62613635","1106.25","55.809859154929576","18.842937853107355","42.20979560354802","21.27685329125777","39.16306091478614","26.161829275246617","15.336791070045164","-3.7080558819689178","-9.885812874427748","5"
Manappuram Finance Ltd,MANAPPURAM,"Consumer Finance","10634.949769885001","126.35","40.31093836757358","6.133755441234667","35.64143853998925","14.708496227699005","4.653147233422961","9.441316587267208","-1.3837216179342455","0.31758634378721035","-5.86017064867162","2"
Nippon India ETF Bank BeES,BANKBEES,"Equity","10625.94809425","469.15","30.791747978812367","0.13854843866567546","29.253106317326484","8.320164005036236","11.35564340045625","8.955154555377506","-1.8698836498239473","5.474370503597114","-0.7033864888617165","0"
Kaynes Technology India Ltd,KAYNES,"Electrical Components & Equipments","10561.29368592","1817.2","172.5254949010198","2.9605987233105813",,"-20.932942312290248",,"129.8507462686567","119.02570806345526","14.972636107684039","8.794879115225209","10"
ITI Ltd,ITI,"Telecom Equipments","10521.7119711","108.9","25.823223570190645","19.05417814508723","-11.750405186385738","-32.683347498675985","6.3622653502698245","4.410354745925224","-6.41468345927623","-1.7591339648173105","-7.936890957276141","10"
Mahanagar Gas Ltd,MGL,"Gas Distribution","10514.40057921","1065.95","47.02758620689656","6.383976734368391","35.902339516797355","14.969397204507107","5.345328239544056","22.84067991933161","12.015641714130156","3.040115998066703","-3.137640994392127","10"
Century Textile and Industries Ltd,CENTURYTEX,"Paper Products","10419.211488","971.75","65.26360544217687","1.97067146899923","24.185303514376997","3.2523612020867496","2.112644623965254","38.022867694055826","27.197829488854374","16.839004448719486","10.661247456260655","10"
Zensar Technologies Ltd,ZENSARTECH,"IT Services & Consulting","10365.213755114999","457.65","127.12158808933003","0.9068065115262813","78.87434043384796","57.94139812155771","13.173125151199816","109.54670329670327","98.72166509150182","18.962828177800883","12.785071185342053","2"
Eureka Forbes Ltd,EUREKAFORBE,,"10319.2152654","518.1","45.943661971831","15.56649295502799","18.87117127452105","-2.061771037769198",,"0.19338619222587505","-10.631652012975579","-12.245934959349587","-18.423691951808415","10"
Karur Vysya Bank Ltd,KARURVYSYA,"Private Banks","10262.69805919","129.75","178.7325456498389","6.165703275529855","172.58403361344537","151.65109130115513","7.864916477268968","23.395149786019967","12.570111580818514","5.4021121039805085","-0.7756448884783218","2"
UTI Asset Management Company Ltd,UTIAMC,"Asset Management","10203.1399736","803.5","32.1546052631579","13.005600497822023","19.06349559161295","-1.8694467206772991",,"3.9792947266256875","-6.845743478575766","16.373379679918887","10.195622687460057","10"
RITES Ltd,RITES,"Business Support Services","10072.253593605","424.2","75.2892561983471","2.074493163602087","69.98597475455819","49.053032442267934","22.140973810939734","24.180327868852448","13.355289663650995","9.8252427184466","3.647485725987769","10"
