Name,Ticker,"Sub-Sector","Market Cap","% Away From 52W High","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","5Y Avg Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","EBITDA Margin","Cost of Goods Sold","Return on Investment","5Y Avg EBITDA Margin","Cash Flow Margin","Net Profit Margin","ROCE","Return on Equity","Return on Assets"
Orient Green Power Company Ltd,GREENPOWER,"Renewable Energy","803.2746553899999","24.4131455399061","7.835380852633428","68.87447545887234","-1.598014613398573","-0.5810855302342001","-0.04341512627000301","71.14074824975448","1.04","8.77265084999066","68.8526799692579","72.44907656730129","10.324072607469825","9.54139071732232","6.550753768844219","1.8500384596826152"
Mangalam Cement Ltd,MANGLMCEM,"Cement","800.30885829","38.74029335634168","9.096153304646794","12.244146279329234","3.6154204799712275","8.086572823589092","2.9534633759599798","8.894491241635036",,"10.371348720455925","13.888108896057469","11.833038370297851","0.9327372817215027","7.460919183971891","11.021276595744684","4.104433263341391"
IST Ltd,ISTLTD,"Industrial Machinery","799.63319816","6.146572104018921","12.193176250579636","43.739046949890025","54.817075891628335","12.534609617023563","11.725733651085156","71.315108976727",,"9.74193425149472","77.58282703223612","19.899039244422728","50.31400073882527","10.353537715991054","9.873425486667758","9.332689055327375"
Menon Bearings Ltd,MENONBE,"Auto Parts","795.768","2.777777777777768","19.52959159011285","17.46882015098795","12.86698600926473","23.242773102668494","14.862343141408559","24.256344946784335","105.07","23.991349597891492","23.41683805326025","22.782679887200946","14.823069225871029","31.8019469150501","26.571545046881408","19.349284569257286"
Atul Auto Ltd,ATULAUTO,"Three Wheelers","795.058862965","29.979035639413","11.004679055631087","-3.3824448457183047","1.3708878222046175","10.876787491306631","8.270098813218734","7.337452877851617",,"-3.58449946178687","5.105487903981111","-53.409952008082854","0.7772725506198731","5.5502917269236525","-8.200305785259838","-5.347914656373972"
Lincoln Pharmaceuticals Ltd,LINCOLN,"Pharmaceuticals","794.97990432","13.918362251903638","16.367695772086794","14.473004557951027","13.71720642901396","17.923701214596356","13.347781412986837","20.959870866023493",,"16.28115515497102","20.659642795841712","15.790674520866174","13.681069109200788","23.092867120263136","17.35583720144631","14.058984493767092"
Shreyas Shipping and Logistics Ltd,SHREYAS,"Logistics","791.898427645","14.333194848358954","10.01877682672525","12.041941777420332","15.7309042860681","13.261855062433636","8.188703538389223","52.74668469292404",,"25.80615313439741","22.85119303304579","21.378152474139334","39.14746406346304","26.949775418538184","40.15103958606783","26.15278818930321"
Indo Amines Ltd,INDOAMIN,"Specialty Chemicals","787.2173306","56.24446412754649","12.002114855772982","5.490897477648508","4.274503396781874","18.808462828416513","6.569163975592659","9.622434789937216",,"9.314506946025968","10.366925070940045","1.9412355600200906","4.306603177278669","30.930893289880533","13.033553983108892","4.5324204990822095"
Kellton Tech Solutions Ltd,KELLTONTEC,"IT Services & Consulting","784.312741875","1.9174898314933353","17.8386195246269","6.345844428692228","4.434448766426228","21.794350676581992","11.668566036401504","-9.611222880756893",,"13.645817734072102","9.476373199986776","0.07939517466938428","-13.790440976564625","-19.95072458144994","15.671359622784177","10.807577268195406"
Sutlej Textiles and Industries Ltd,SUTLEJTEX,"Textiles","782.2816605","76.26050420168069","6.121124388723571","7.022107956606141","1.8356362770984191","7.323443398352817","3.153130957077136","8.054933784019152",,"9.78942937416178","9.035439627265589","3.053145684724632","1.2024022241860963","7.846217709231423","14.623699874915431","6.5840825870014426"
