Name,Ticker,"Sub-Sector","Market Cap","1Y Return vs Nifty","6M Return","1M Average Volume","1D Change in Volume","1W Return vs Nifty","1W Return","1D Return","Close Price","Face value","Daily Volume","6M Return vs Nifty","5Y CAGR","1Y Return","% Away From 52W Low","% Away From 52W High","1M Return vs Nifty","1M Return"
Sadbhav Engineering Ltd,SADBHAV,"Construction & Engineering","183.580756","-59.807613420650995","-27.457627118644073","125104.77272727272","-41.93080185198699","-3.486821179629697","-2.2831050228310503","0","10.7","1","71615","-36.41199487200496","-48.08539170928701","-37.05882352941177","25.882352941176467","111.21495327102808","-16.606258716929197","-12.295081967213115"
Praxis Home Retail Ltd,PRAXIS,"Home Furnishing","183.06007706","-74.94348339021333","-34.202514506769816","187366.33333333334","0","0.5323949543124646","1.7361111111111112","0","14.65","5","153992","-43.15688226013071","-28.678761100641005","-52.19469349897411","32.57918552036199","125.48526779021256","11.499099930125816","15.810276679841897"
Lovable Lingerie Ltd,LOVABLE,"Apparel & Accessories","182.854","-22.31193524469435","-3.913373860182364","84236.09090909091","-29.875360352721724","11.950646259308737","13.154362416107384","2.347227842978556","126.45","10","49623","-12.867741613543254","0.8766863762081245","0.4368546465448746","50.35671819262784","43.10003954132067","10.3307090163764","14.64188576609248"
Zodiac Energy Ltd,ZODIAC,"Renewable Energy Equipment & Services","182.2594952","-18.547109218970316","0.4048582995951417","30900.238095238095","5.679088866506547","-5.635315386085738","-4.431599229287091","-0.44158972300280785","124","10","13640","-8.549509453765747",,"4.201680672268908","45.882352941176464","37.82258064516129","-11.635541473183952","-7.324364723467871"
Newtime Infrastructure Ltd,NEWINFRA,"Real Estate","181.929528","-22.748789891239223","-66.69856459330144","80611.40909090909","177.8517901748543","-8.732502693556837","-7.528786536758191","-2.247191011235957","10.44","1","3337","-75.65293234666233",,,"19.042189281641964","285.53639846743295","-14.543334961238017","-10.232158211521936"
Rajshree Polypack Ltd,RPPL,"Plastic Products","180.607975","-34.69199701818799","-3.5082367297132397","11745.59090909091","43.546070182639035","-4.6825077344611366","-3.4787915776624896","0.25356576862123975","158.15","10","13990","-12.462604483074129",,"-11.94320712694877","13.776978417266195","69.4593740120139","-6.808094135659351","-2.4969173859432696"
Bhatia Communications & Retail (India) Ltd,BHATIA,"Retail - Speciality","180.469184","-91.40452759615727","-45.16252390057361","53723.27272727273","-3.007088247129105","-6.612687133051946","-5.4089709762533","-0.5547850208044388","14.34","1","62671","-54.1168916539345","-4.811909124911518","-68.65573770491804","2.4285714285714244","314.92329149232916","-13.837990629842261","-9.52681388012618"
Navkar Urbanstructure Ltd,NAVKAR,"Cement","179.984038","-74.86819287631386","-31.918505942275043","237833.45454545456","-61.89009241776806","-6.292473553248348","-5.088757396449701","0","8.02","2","15340","-40.87287369563593","10.811957346596635","-52.11940298507463","26.69826224328593","166.83291770573567","-21.029764496341222","-16.71858774662514"
Aspinwall & Co Ltd,ASPINWALL,"Tea & Coffee","179.58607536","16.655972013522675","-0.6785411365564133","13971.90909090909","24.422353573347664","2.7927314453327923","3.996447602131439","1.95907705703091","234.2","10","4631","-9.632908889917303","-1.683507851199395","39.4047619047619","40.7029137879243","35.930828351836055","-13.412671024895586","-9.101494275179505"
CG VAK Software and Exports Ltd,CGVAK,"Software Services","179.383104","-1.5361625319607874","3.6122215876642016","5541.772727272727","229.85436893203882","1.0795819404529454","2.283298097251592","2.153716216216226","362.85","10","8154","-5.342146165696688","63.03592608762507","21.212627359278436","31.89749182115593","19.884249689954526","-1.8111767497160747","2.500000000000006"
