Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","Dividend Yield","Dividend Yield vs Sector","Dividend Yield vs Sub-sector","Enterprise Value","EV / Invested Capital","EV / Revenue Ratio","EV / Free Cash Flow","EV / EBIT Ratio","EV/EBITDA Ratio","Sector PB","Sector Dividend Yield","Sector PE","Price / Free Cash Flow","PB Premium vs Sub-sector","PB Ratio","PB Premium vs Sector","PE Premium vs Sub-sector","PE Premium vs Sector","Forward PE Ratio","Price / Sales","Price / CFO","PS Ratio","PS Premium vs Sub-sector","Forward PS Ratio"
Spacenet Enterprises India Ltd,SPCENET,"Online Services","944.5965619799999","351.15113828252873",,,,"941.45656198","25.666754688658667","6.495043545912384",,"332.67016324381706","306.66337523778566","8.389482910929395","0.4340510213770647","-62.232263327495986",,"447.84724339589366","27.547289646544176","228.35503616864105","109.12019256653997","664.2589864273508",,"6.5167061882028285",,"6.5167061882028285","-36.90394033678258",
D Link (India) Limited,DLINKINDIA,"Technology Hardware","934.487652","10.822092090330067","3.7993920972644384","1.1542951216494464","0.8547034174156822","802.707652","2.621599830170809","0.6758106805189558","24.813219536321483","6.85196459240291","6.572567362646367","7.03938004682387","2.645096975614992","26.239576758295822","28.886789860896446","19.88758989382372","3.0879903905888577","-56.132637106556814","-18.164593755544942","-58.75660575619388",,"0.7867580861614623","27.903483189011645","0.7867580861614623","231.33044264086473",
Deccan Gold Mines Ltd,DECNGOLD,"Mining - Diversified","933.379971876","-332.1636910590747",,,,"933.649971876","21.973404845281244","2746.0293290470586",,,,"2.8765341010688186","3.333165938742793","20.57991125317835",,"507.99591990695825","22.175813064290807","670.921264449848","-2784.083214723487","-1714.0190643814149",,"2745.2352114",,"2745.2352114","76742.55424726791",
Dhunseri Ventures Ltd,DVL,"Specialty Chemicals","928.5062285399999","1.7116584237363122","1.8865169087280274","-1.4466490300147656","1.457331783468202","693.5162285399999","0.3182595618079106","0.7089790618795938",,"0.9585308333425473","0.9302075361008649","2.8765341010688186","3.333165938742793","20.57991125317835",,"-93.31367515086708","0.44986638720711636","-84.3608185614778","-94.84818096243374","-91.68286780890774",,"0.949208465165254",,"0.949208465165254","-76.61859641772853",
Vinyl Chemicals India Ltd,VINYLINDIA,"Specialty Chemicals","924.7405077299999","25.93942518176707","1.9836898942633931","-1.3494760444793998","1.5545047690035678","883.5505077299999","7.764064215553603","0.8706904103688519",,"18.07960932535292","18.04268955952618","2.8765341010688186","3.333165938742793","20.57991125317835",,"21.298539015850476","8.161155306063012","183.71488114917932","-21.92646463700034","26.04245403517472",,"0.9112808889994775",,"0.9112808889994775","-77.55284847907626",
Lancer Container Lines Ltd,LANCER,"Logistics","921.4669728","17.14676168217346",,,,"913.2269728","7.914264431926509","1.0800389956832832","28.317115435658916","11.238333408811236","9.320544731577883","5.199201697435677","0.6796423106764077","40.413738273540055","28.572619311627907","265.45286085921435","12.581471501911523","141.98852504831444","-58.2409796341847","-57.57194851385501",,"1.0897841319850985","19.689465230769233","1.0897841319850985","-51.70858077944196",
Bodal Chemicals Ltd,BODALCHEM,"Commodity Chemicals","920.150667975","24.195389639100682","0.13311044512910986","-3.200055493613683","-0.9892657384500259","1577.230667975","0.9127333830865205","0.9945397650372976",,"17.169939777650765","10.881205022249048","2.8765341010688186","3.333165938742793","20.57991125317835",,"-77.04089956460069","0.8743770304318906","-69.60310569212432","12.596383833842008","17.567997944422434","18.923076923076923","0.5802109023797363",,"0.5802109023797363","-73.6485251196087","0.5511674925"
Century Enka Ltd,CENTENKA,"Textiles","918.7080145049999","10.171700780613348","2.378404090855036","1.7464187149022745","1.8322772438828825","627.668014505","0.49594501778207967","0.3001630797837491",,"5.229259472673488","3.8925148186356533","6.227419483210649","0.6319853759527617","62.005469627004246",,"-94.55450206341222","0.7345668072608501","-88.20431465647577","-79.78171525977886","-83.59547820248517",,"0.4393440810797239","16.53542142737581","0.4393440810797239","-79.03238171706062",
Ambika Cotton Mills Ltd,AMBIKCO,"Textiles","918.375875","8.207112377122426","2.1818408502945488","1.5498554743417872","1.6357140033223951","638.375875","0.8806763626581318","0.7411341208567945","2.2055551236871196","4.017975044058407","3.383020005299416","6.227419483210649","0.6319853759527617","62.005469627004246","3.1729404194306245","-90.60781500205418","1.2669525225212799","-79.6552564679956","-83.68672668272802","-86.76388965926304",,"1.066205230161955","3.0433983132290563","1.066205230161955","-49.11554464926845",
K&R Rail Engineering Ltd,KRRAIL,"Construction & Engineering","918.0404649149999","145.25956723338643",,,,"920.750464915","13.610502068218771","2.359265290478387",,"76.72920540958343","66.57631705820687","5.199201697435677","0.6796423106764077","40.413738273540055",,"449.8623869469644","16.841688954595483","223.92836313509542","444.0230137297901","259.43115742027686",,"2.35232137985241",,"2.35232137985241","47.68807950529481",
