Name,Ticker,"Sub-Sector","Market Cap","Close Price","Depreciation & Amortization","Dividend Per Share","EBITDA","Employee Cost","Earnings Per Share","Interest & Other Items","Net Income","Operating & Other expenses","PBIT","PBT","Power & Fuel Cost","Payout Ratio","Raw Materials","Selling & Administrative Expenses","Taxes & Other Items","Total Revenue","EBITDA (Q)","EPS (Q)","Net Income (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)","Total revenue (Q)"
IRIS Business Services Ltd,IRIS,"IT Services & Consulting","158.27749935","83.2","4.71","0","10.930000000000007",,"2.22","1.02","4.270000000000007","63.97","6.220000000000007","5.200000000000006",,"0",,,"0.93","74.9","3.3900000000000006","0.82","1.5800000000000003","17.7","2.2300000000000004","1.9400000000000004","21.09"
Navkar Urbanstructure Ltd,NAVKAR,"Cement","158.215395","6.74","0.26","0.01","1.790000000000001","0.31","0.07905187161481983","0.12","1.2800000000000011","1.5799999999999996","1.530000000000001","1.410000000000001","0.01","0.1264992187499999","8.91","0.2","0.13","12.8","1.3200000000000003","0.21","0.9200000000000003","4.77","1.0600000000000003","1.0500000000000003","6.09"
Suyog Gurbaxani Funicular Ropeways Ltd,SGFRL,,"157.8751097","67","6.64","0","8.23",,"0","1.58","0.3200000000000007","9.8","1.5900000000000007","0.010000000000000675",,,,,"-0.31","18.03",,,,,,,
Parvati Sweetners and Power Ltd,PARVATI,,"157.495870752","11.08","4.5","0","9.489999999999995",,"0.09","3.65","1.359999999999995","79.7","4.989999999999995","1.339999999999995",,"0",,,"-0.02","89.19","3.3099999999999987","0.08","1.139999999999999","17.68","2.169999999999999","1.109999999999999","20.99"
P.E. Analytics Ltd,PROPEQUITY,"Real Estate","157.44120207999998","149.1","0.26","0","14.480000000000004",,"10.12","0","10.610000000000005","17.83","14.220000000000004","14.220000000000004",,"0",,,"3.61","32.31",,,,,,,
Starteck Finance Ltd,STARTECK,"Diversified Financials","157.2769371","158.1","0","0.25","3.11",,"2.94",,"2.92","3.9","3.11","3.11",,"0.08503401360544217",,,"0.19","7.01","15.77","15.16","15.03","4.96","15.219999999999999","15.219999999999999","20.73"
Aksh Optifibre Ltd,AKSHOPTFBR,"Communication & Networking","157.00354201500002","9.7","24.57","0","36.22999999999996",,"-0.83","18.45","-13.580000000000037","253.11","11.659999999999961","-6.790000000000038",,"0",,,"6.79","289.34","-0.46999999999999886","-0.83","-13.43","80.64","-6.679999999999999","-11.12","80.17"
Ravinder Heights Ltd,RVHL,"Real Estate","156.1894023","25.3","2.17","0","7.149999999999999",,"0.96","0.43","6.159999999999998","9.68","4.979999999999999","4.549999999999999",,"0",,,"-1.6099999999999999","16.83","7.4399999999999995","1.12","6.949999999999999","5.68","6.859999999999999","6.779999999999999","13.12"
Byke Hospitality Ltd,BYKE,"Hotels, Resorts & Cruise Lines","155.178486","39.5","29.67","0","40.88000000000001",,"0.58","10","2.290000000000008","74.57","11.210000000000008","1.210000000000008",,"0",,,"-1.08","115.45","12.33","0.53","2.1300000000000003","14.74","4.9","2.6900000000000004","27.07"
Shardul Securities Ltd,SHARDUL,"Investment Banking & Brokerage","155.141106978","89.95","0.37","0","3.2199999999999998",,"1.26",,"2.1999999999999997","3.42","2.8499999999999996","2.8499999999999996",,"0",,,"0.65","6.64","-5.57","-2.58","-4.68","1.11","-5.66","-5.66","-4.46"
Wanbury Ltd,WANBURY,"Pharmaceuticals","155.09516052","47.4","12.38","0","23.49000000000001",,"-3.18","21.39","-10.389999999999992","477.07","11.110000000000008","-10.279999999999992",,"0",,,"0.11","500.56","11.5","0.31","1.02","119.41","8.43","0.9199999999999999","130.91"
Accuracy Shipping Ltd,ACCURACY,"Logistics","155.0768","10.45","12.34","0.025","36.1099999999999",,"0.55","11.76","8.2099999999999","842.69","23.7699999999999","12.0099999999999",,"0.045454545454545456",,,"3.8000000000000003","878.8","11.780000000000001","0.38","5.700000000000001","165.53","8.64","6.430000000000001","177.31"
Manas Properties Ltd,MANAS,"Real Estate","153.92","370","0","0","30.94",,"60.14","0","25.020000000000003","4.2","30.94","30.94",,"0",,,"5.92","35.14",,,,,,,
Pansari Developers Ltd,PANSARI,"Real Estate","153.706308","88.85","1.86","0","5.359999999999999",,"2.09","0.79","2.009999999999999","18.63","3.499999999999999","2.709999999999999",,"0",,,"0.7","23.99","1.7299999999999995","0.28","0.47999999999999954","3.37","1.2299999999999995","0.6799999999999995","5.1"
Keltech Energies Ltd,KELENRG,"Commodity Chemicals","153.625","1536.8","6.05",,"28.110000000000106","20.45","119.31193119312036","5.37","11.930000000000105","38.09999999999996","22.060000000000105","16.690000000000104","5.81","0","437.93","34.9","4.76","565.3000000000001","11.909999999999997","65.96","6.599999999999997","147.22","10.399999999999997","8.969999999999997","159.13"
Fluidomat Ltd,FLUIDOM,"Industrial Machinery","153.57459","308.1","0.74","4.5","13.600000000000001",,"19.5","0","9.610000000000001","33.83","12.860000000000001","12.860000000000001",,"0.23076923076923078",,,"3.25","47.43","4.610000000000001","6.54","3.290000000000002","9.85","4.4700000000000015","4.4700000000000015","14.46"
Shiva Texyarn Ltd,SHIVATEX,"Textiles","153.41370835499998","116.75","14.11","0","24.379999999999995",,"-5.12","13.81","-6.630000000000004","402.5","10.269999999999996","-3.5400000000000045",,"0",,,"3.09","426.88","15.439999999999998","4.87","6.309999999999999","97.52","11.809999999999999","9.319999999999999","112.96"
Standard Industries Ltd,SIL,"Textiles","152.781234875","23.9","2.63","1.05","32.760000000000005","2.58","3.3639602430265416","6.49","21.640000000000008","8.069999999999997","30.130000000000006","23.640000000000008","0.74","0.312132107439926","15.1","7.18","2","66.43","-3.63","-0.87","-5.609999999999999","9.67","-4.3","-5.109999999999999","6.04"
Touchwood Entertainment Ltd,TOUCHWOOD,"Advertising","152.718675","150","0.61","0.35","4.240000000000002",,"2.49","0.06","2.470000000000002","33.08","3.630000000000002","3.570000000000002",,"0.1405622489959839",,,"1.1","37.32","1.7999999999999972","1.02","0.9499999999999972","21.01","1.6399999999999972","1.6299999999999972","22.81"
Madhav Infra Projects Ltd,MADHAVIPL,"Construction & Engineering","152.3135814","5.75","13.17","0","86.41999999999996",,"1.58","25.25","33.91999999999996","455.13","73.24999999999996","47.99999999999996",,"0",,,"14.08","541.55","24.090000000000003","0.5","5.020000000000003","180.74","19.800000000000004","13.250000000000004","204.83"
AKI India Ltd,AKI,"Apparel & Accessories","152.266876125","21.85","1.9","0","5.480000000000004",,"0.14596088248349443","2.01","1.1500000000000044","67.35","3.580000000000004","1.5700000000000043",,"0",,,"0.42000000000000004","72.83","1.3599999999999994","0.01999464143609513","0.22999999999999943","13.67","0.8799999999999994","0.2099999999999994","15.03"
Gillanders Arbuthnot & Co Ltd,GILLANDERS,"Conglomerates","151.95750352000002","71.15","11.97","0","42.199999999999946","135.03","6.943941401755902","18.04","14.819999999999947","105.59000000000002","30.229999999999947","12.189999999999948","43.46","0","122.11","30.89","-2.63","479.28","-8.950000000000003","-5.07","-10.82","94.03","-11.860000000000003","-16.28","85.08"
Weizmann Ltd,WEIZMANIND,"Textiles","151.77083097","95.7","3.18","0.5","13","7.85","2.6798627733704365","0.96","4.249999999999999","32.26999999999999","9.82","8.86","25.81","0.18657671764705885","49.81","6.83","4.61","135.57","3.530000000000001","0.69","1.1000000000000008","34.21","2.750000000000001","2.520000000000001","37.74"
Shri Venkatesh Refineries Ltd,SVRL,,"151.73859008","135.75","1","1","28.209999999999923",,"12.96","7.87","14.339999999999922","601.34","27.209999999999923","19.33999999999992",,"0.07716049382716049",,,"5","629.55","4.400000000000006","1.25","1.3800000000000054","141.17","4.080000000000005","1.9900000000000055","145.57"
Anlon Technology Solutions Ltd,ANLON,"Construction & Engineering","151.475125","279.5","0.2","0","7.4999999999999964",,"9.84","1.09","4.429999999999996","25.69","7.299999999999996","6.209999999999996",,"0",,,"1.78","33.19","2.9400000000000004","3.38","1.8700000000000008","7.8","2.8900000000000006","2.630000000000001","10.74"
SoftTech Engineers Ltd,SOFTTECH,"Software Services","151.4262582","150.5","10.46","0","20.809999999999995",,"3.81","3.93","3.9899999999999944","46.02","10.349999999999994","6.419999999999995",,"0",,,"2.43","66.83","5.49","0.29","0.31000000000000005","13.26","2.68","1.5000000000000002","18.75"
MPS Infotecnics Ltd,VISESHINFO,"IT Services & Consulting","150.9774662","0.4","3.57","0","-1.4100000000000001",,"-0.01","0.07","-4.410000000000001","2.95","-4.98","-5.050000000000001",,"0",,,"-0.64","1.54","-0.42000000000000015","0","-1.1400000000000001","1.57","-1.31","-1.31","1.15"
Krebs Biochemicals and Industries Ltd,KREBSBIO,"Pharmaceuticals","150.924102","69","6.56","0","-15.159999999999997",,"-11.3","2.97","-24.689999999999994","67.91","-21.719999999999995","-24.689999999999994",,"0",,,"0","52.75","-4.429999999999998","-3.07","-6.939999999999999","16.08","-5.909999999999998","-6.939999999999999","11.65"
Aryaman Financial Services Ltd,ARYAMAN,"Investment Banking & Brokerage","149.5296","134.4","0.16","0","6.479999999999997",,"3.36",,"3.929999999999997","49.220000000000006","6.319999999999997","6.319999999999997",,"0",,,"2.3899999999999997","55.7","-3.0700000000000003","-1.84","-2.1400000000000006","16.3","-3.1100000000000003","-3.1100000000000003","13.23"
Sudarshan Pharma Industries Ltd,SUDARSHAN,,"149.44915827","62.55","0.91","0.3","15.810000000000002",,"5.48","5.4","7.040000000000002","446.64","14.900000000000002","9.500000000000002",,"0.05474452554744525",,,"2.46","462.45",,,,,,,
Hazoor Multi Projects Ltd,HAZOOR,"Real Estate","149.3471","125.5","0.12","0","63.07000000000005",,"44.62","1.71","45.580000000000055","713.12","62.95000000000005","61.24000000000005",,"0",,,"15.66","776.19","23.75999999999999","16.81","17.16999999999999","171.08","23.71999999999999","23.199999999999992","194.84"
Available Finance Ltd,AVAILFC,"Specialized Finance","149.178094","149.95","0","0","0.31999999999999995",,"168.74",,"172.17","0.29000000000000004","0.31999999999999995","0.31999999999999995",,"0",,,"-171.85","0.61","0.07","37.75","38.51","0.06","0.07","0.07","0.13"
Ahlada Engineers Ltd,AHLADA,"Home Furnishing","149.043735","117","13.02","1.4","25.48999999999998",,"3.94","3.74","5.08999999999998","132.99","12.469999999999981","8.72999999999998",,"0.35532994923857864",,,"3.64","158.48","10.14","2.43","3.14","39.47","6.83","5.92","49.61"
