Name,Ticker,"Sub-Sector","Market Cap","Close Price","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","5Y Avg Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","EBITDA Margin","Return on Investment","Cost of Goods Sold","Cash Flow Margin","5Y Avg EBITDA Margin","Net Profit Margin","ROCE","Return on Equity","Return on Assets"
Chennai Petroleum Corporation Ltd,CHENNPETRO,"Oil & Gas - Refining & Marketing","6584.862108","440.5","4.1685041817910315","2.1620954932258867","0.5689083485149669","1.8101966956400954","0.16939774429700788","7.440055089706443","14.4395201332345",,"2.357734302532426","3.796750153870377","4.601488907463493","84.34981378209547","47.40895806048356","8.475749831758204"
India Cements Ltd,INDIACEM,"Cement","6583.766035244999","211.4","4.41882131156347","11.275161717649903","1.059387511287104","1.5065570346050496","0.7431211449983275","1.425677273833565","3.029528327971602",,"8.990648693151796","10.679632999992398","-2.174851998999039","-1.4614130679902293","1.3299337660774597","0.6782539003922164"
Quess Corp Ltd,QUESS,"Employment Services","6576.5089592","438.6","5.7170575055277855","3.586302502273954","0.5081495907705237","4.19020297315003","2.1038057312103278","3.861051344360333","9.271274121963401",,"4.0170638909558765","3.976399857567754","1.30215781013337","12.811001923436155","9.637678119450152","4.7808370131363"
GMM Pfaudler Ltd,GMMPFAUDLR,"Industrial Machinery","6567.80085416","1457.95","14.923747232471055","10.131877718589514","7.49659222249789","19.192487380049176","9.506146174539357","14.283856263393238","8.407517309594478",,"9.280021984061554","14.911016272065288","5.160037655919034","20.758154533805396","14.29123538109965","3.336517507399782"
Karnataka Bank Ltd,KTKBANK,"Private Banks","6567.2674594","212.8",,"3.0878786752856815","8.050166645551933","7.417855055853607","0.5587731067265496","17.539429257464857",,,"-6.514631651415782","10.873125708424947","14.36390224539469","12.266941899618331","7.396347180887935","0.5712298579178323"
Kfin Technologies Ltd,KFINTECH,"Business Support Services","6546.71271211","381.85",,"0","8.54351194082886",,,"42.78256860830892","25.06467661691543",,"39.13440835230881","42.0756203043872","26.540297212278986","29.07160312276983","26.687626319335287","15.243323670506149"
Jubilant Ingrevia Ltd,JUBLINGREA,"Specialty Chemicals","6544.736789940001","411.7",,"0",,,,"12.077876680690633","19.00575818613392",,"9.089613218627344",,"6.3981723074618335","16.790500685117216","21.886700626941245","13.33734358278483"
Archean Chemical Industries Ltd,ACI,"Commodity Chemicals","6537.805305569999","529.8",,"0",,,,"45.62768637913145","31.95947747267394","184.32","33.421588045865505",,"25.77307085977605","38.45531742822482","45.18487459472864","23.28104793926576"
Hindustan Foods Ltd,HNDFDS,"FMCG - Foods","6510.8903475","578.65","10.800097654860789","0.9045543546575506","2.563358162351058","18.130758569808165","6.032776241837318","6.82845111117941","9.916535697392325",,"1.7805156107036437","6.597438646039525","2.7326099652660303","22.982048090152627","15.948991802253968","5.1810465365893394"
BHARAT Bond ETF-April 2032,BBETF0432,"Debt","6496.905610791","1080",,,,,,,,,,,,,,
Ion Exchange (India) Ltd,IONEXCHANG,"Environmental Services","6493.80102125","529.5","23.194512282079977","8.861676114300758","8.21603595380888","28.104854782947463","7.593892904277953","14.61845531376593","24.710935849588033",,"5.64429455583145","13.993185258760894","9.68394524539651","38.388788582237126","28.05393994226872","10.610465116279059"
Authum Investment & Infrastructure Ltd,AIIL,"Diversified Financials","6469.399859","376.85","5.442833172301127","0",,"9.62901219005468","7.13382397539381","90.32342919872823","16.749612405042367",,"28.833436204920204",,"89.14798206278026","130.35274029028056","29.375215512981292","22.422956085555544"
