Count: 0	Distance: 0.15ft	Time: 5.63sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.67sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.70sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.73sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.76sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.79sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.82sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.86sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.89sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.92sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.95sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.98sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.02sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.05sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.08sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.11sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.15sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.18sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.21sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.24sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.27sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.30sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.33sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.37sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.40sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.43sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.47sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.50sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.53sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 6.56sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.18ft	Time: 6.59sec	Speed: 0.18ft/sec 
Count: 0	Distance: 0.18ft	Time: 6.62sec	Speed: 0.18ft/sec 
Count: 0	Distance: 0.18ft	Time: 6.65sec	Speed: 0.18ft/sec 
Count: 0	Distance: 0.18ft	Time: 6.69sec	Speed: 0.18ft/sec 
Count: 0	Distance: 0.18ft	Time: 6.72sec	Speed: 0.18ft/sec 
Count: 0	Distance: 0.18ft	Time: 6.75sec	Speed: 0.18ft/sec 
Count: 0	Distance: 0.18ft	Time: 6.78sec	Speed: 0.18ft/sec 
Count: 0	Distance: 0.18ft	Time: 6.82sec	Speed: 0.18ft/sec 
Count: 0	Distance: 0.18ft	Time: 6.85sec	Speed: 0.18ft/sec 
Count: 0	Distance: 0.18ft	Time: 6.88sec	Speed: 0.18ft/sec 
Count: 0	Distance: 0.18ft	Time: 6.91sec	Speed: 0.18ft/sec 
Count: 0	Distance: 0.18ft	Time: 6.94sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 6.98sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.01sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.04sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.07sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.10sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.13sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.16sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.20sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.23sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.26sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.29sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.33sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.36sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.39sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.42sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.45sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.49sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.52sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.55sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.58sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.61sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.64sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.68sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.71sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.74sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.77sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.80sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.84sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.87sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.90sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.93sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 7.97sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.00sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.03sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.06sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.09sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.12sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.15sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.19sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.22sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.25sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.28sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.32sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.35sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.38sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.41sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.44sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.47sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.50sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.54sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.57sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.60sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.64sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.67sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.70sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.73sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.76sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.79sec	Speed: 0.20ft/sec 
Count: 0	Distance: 0.20ft	Time: 8.83sec	Speed: 0.20ft/sec 
